Unnamed: 0,FileName,VID,DirName,title,vod_filename,zh_srt,ar_srt,en_srt,hsk_level,audio_ratio_ori,pinyin_srt,level,audio_ratio,audio_dur,asset_id,video_id,description,cover_path
0.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/7.mp4,v0d32eg10064ct2sjhaljht0lktqi3i0,,7,d694af6a-e421-4f70-9f9c-e87428d342ff.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjhaljht0lktqi3i0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjhaljht0lktqi3i0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjhaljht0lktqi3i0_English.srt,HSK3,0.3627063257333867,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjhaljht0lktqi3i0_Pinyin.srt,4,0.3627063257333867,134.3786875,e51d550ff1f7b175fd75ec5a45336c6f,677221a45094f908c47a6a70,,
1.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/41.mp4,v0332eg10064ct2sjiiljhtfkbcagc6g,,41,6ab0136e-98f5-43e1-874a-e8058f7d7c70.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjiiljhtfkbcagc6g_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjiiljhtfkbcagc6g_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjiiljhtfkbcagc6g_English.srt,HSK3,0.485181977024666,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjiiljhtfkbcagc6g_Pinyin.srt,4,0.485181977024666,46.2506875,f9f7308244e68a80c72eacc962f0a579,677221a55094f908c47a6a72,,
2.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/40.mp4,v0232eg10064ct2sjjaljhtb9tp0pdcg,,40,fffe8018-ce66-40f1-b863-c2075ad98768.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjjaljhtb9tp0pdcg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjjaljhtb9tp0pdcg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjjaljhtb9tp0pdcg_English.srt,HSK3,0.4173136645962733,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjjaljhtb9tp0pdcg_Pinyin.srt,4,0.4173136645962733,41.216,2f464a670844028fbbe6585dc1098a9b,677221a6170f6da8ffa64dde,,
3.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/6.mp4,v0d32eg10064ct2sjjqljht60aaulia0,,6,9621919a-3872-4965-9009-5eb2de614071.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjjqljht60aaulia0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjjqljht60aaulia0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjjqljht60aaulia0_English.srt,HSK3,0.4765137445852269,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjjqljht60aaulia0_Pinyin.srt,4,0.4765137445852269,136.5333125,726594550f24d2ac5f59f81ba788c248,677221a85094f908c47a6a74,,
4.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/42.mp4,v0332eg10064ct2sjkqljht3unc11fdg,,42,16f4de0a-be5d-40c8-a932-418028b54f53.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjkqljht3unc11fdg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjkqljht3unc11fdg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjkqljht3unc11fdg_English.srt,HSK3,0.5076433982683983,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjkqljht3unc11fdg_Pinyin.srt,4,0.5076433982683983,59.136,904598279e43c060e5d047fd01e3dd01,677221a9170f6da8ffa64de0,,
5.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/4.mp4,v0232eg10064ct2sjliljht676rf4ib0,,4,4c410e37-a8b0-4e43-b369-b5ef51abc28b.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjliljht676rf4ib0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjliljht676rf4ib0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjliljht676rf4ib0_English.srt,HSK3,0.3892465574583347,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjliljht676rf4ib0_Pinyin.srt,4,0.3892465574583347,118.4853125,483fba3098db7e01454e6d10be911123,677221aa170f6da8ffa64de2,,
6.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/5.mp4,v0d32eg10064ct2sjmaljht0lktqi3lg,,5,01317430-50e6-49d6-bbdb-1861ae26c684.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjmaljht0lktqi3lg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjmaljht0lktqi3lg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjmaljht0lktqi3lg_English.srt,HSK3,0.4682155074116306,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjmaljht0lktqi3lg_Pinyin.srt,4,0.4682155074116306,112.256,2567cd266038cfa32a257750a7dcf4ad,677221ab5094f908c47a6a76,,
7.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/43.mp4,v0332eg10064ct2sjnaljhte03cgru1g,,43,e39d3e89-5567-4d00-beb7-4441a599c1a3.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjnaljhte03cgru1g_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjnaljhte03cgru1g_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjnaljhte03cgru1g_English.srt,HSK3,0.4146191646191645,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjnaljhte03cgru1g_Pinyin.srt,4,0.4146191646191645,52.096,3f3e4e1106e501f24e1eac9c057c0d64,677221ad5094f908c47a6a78,,
8.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/1.mp4,v0232eg10064ct2sjnqljhtboopas5d0,,1,b8dd2752-de93-4d70-b0e0-aca53d5ff38a.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjnqljhtboopas5d0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjnqljhtboopas5d0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjnqljhtboopas5d0_English.srt,HSK3,0.338556517359611,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjnqljhtboopas5d0_Pinyin.srt,4,0.338556517359611,149.1626875,68eaa2bb2509df91334932be8694f278,677221ae170f6da8ffa64de4,,
9.0,huoshan/短剧/8233-被偷走爱的那十年（43集）/2.mp4,v0d32eg10064ct2sjoqljhtd7u6b6vpg,,2,9f346e4e-d366-43a0-961a-ba09b8b27f25.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjoqljhtd7u6b6vpg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjoqljhtd7u6b6vpg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjoqljhtd7u6b6vpg_English.srt,HSK3,0.3342945265328652,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjoqljhtd7u6b6vpg_Pinyin.srt,4,0.3342945265328652,138.2613125,23a781c87d42e315bebdc3ffb023d721,677221af170f6da8ffa64de6,,
