,汉字
0,辱
1,徊
2,绅
3,拨
4,屑
5,宇
6,链
7,瞒
8,易
9,枝
10,间
11,旬
12,寓
13,贝
14,哈
15,缚
16,敢
17,薪
18,灶
19,地
20,续
21,跨
22,兆
23,俊
24,潜
25,舍
26,寂
27,琴
28,民
29,喇
30,熟
31,熄
32,演
33,唐
34,伦
35,起
36,值
37,抄
38,盼
39,挂
40,染
41,嗨
42,郎
43,熬
44,肿
45,役
46,饮
47,西
48,痕
49,费
50,疆
51,眨
52,胡
53,拥
54,耽
55,恳
56,片
57,奠
58,空
59,酌
60,苟
61,哇
62,血
63,雷
64,戴
65,霍
66,脚
67,歉
68,班
69,迁
70,浑
71,描
72,碑
73,谁
74,睛
75,呻
76,觉
77,打
78,贤
79,报
80,涛
81,喉
82,诉
83,所
84,极
85,卫
86,娶
87,嘈
88,曲
89,略
90,竹
91,挠
92,毫
93,桃
94,堤
95,蛋
96,盛
97,唇
98,摧
99,疑
100,筛
101,常
102,看
103,更
104,查
105,吼
106,哦
107,厨
108,释
109,赁
110,膜
111,偏
112,集
113,蠢
114,粹
115,威
116,叙
117,泊
118,俯
119,召
120,丐
121,达
122,屏
123,必
124,泄
125,继
126,廓
127,簸
128,振
129,亡
130,害
131,酷
132,牢
133,另
134,蚁
135,纯
136,八
137,锤
138,蓬
139,愉
140,围
141,掠
142,侄
143,钙
144,郊
145,倡
146,非
147,匙
148,抖
149,据
150,侈
151,赴
152,曾
153,赞
154,俐
155,乱
156,澄
157,鸽
158,浪
159,硬
160,昌
161,压
162,联
163,培
164,伸
165,做
166,宝
167,纽
168,财
169,现
170,私
171,痛
172,南
173,舶
174,隔
175,磁
176,撕
177,小
178,活
179,钻
180,颖
181,就
182,奇
183,尸
184,串
185,连
186,艰
187,畅
188,誉
189,覆
190,雀
191,绸
192,嗽
193,愁
194,肚
195,岂
196,颗
197,尾
198,跃
199,勿
200,叔
201,您
202,聪
203,里
204,吹
205,德
206,鄙
207,七
208,余
209,岁
210,之
211,录
212,唆
213,营
214,古
215,云
216,彼
217,悠
218,端
219,替
220,拐
221,砸
222,贬
223,边
224,依
225,暄
226,锈
227,辟
228,庇
229,米
230,课
231,帝
232,腿
233,宣
234,惕
235,结
236,揍
237,抵
238,鼓
239,完
240,算
241,嗓
242,尴
243,衫
244,与
245,迎
246,她
247,辜
248,衬
249,巢
250,迷
251,宪
252,盲
253,渺
254,第
255,瘾
256,宅
257,穴
258,攀
259,掐
260,周
261,济
262,傻
263,忘
264,雄
265,臂
266,今
267,辑
268,玉
269,系
270,津
271,躬
272,垃
273,柜
274,抢
275,丢
276,贫
277,缔
278,椒
279,图
280,说
281,阳
282,能
283,摆
284,坝
285,颠
286,类
287,革
288,冷
289,待
290,扣
291,忌
292,擅
293,沼
294,帅
295,凭
296,永
297,祖
298,掷
299,瞩
300,是
301,扬
302,绕
303,抽
304,眠
305,络
306,喻
307,棍
308,挽
309,宾
310,优
311,措
312,虚
313,声
314,袍
315,容
316,陈
317,稍
318,愿
319,幽
320,梨
321,奖
322,乏
323,拢
324,桶
325,再
326,舒
327,绩
328,魂
329,苦
330,右
331,社
332,在
333,赂
334,撇
335,热
336,兑
337,葡
338,杀
339,忆
340,造
341,豫
342,谐
343,恰
344,矮
345,副
346,禁
347,悄
348,隧
349,物
350,晶
351,愈
352,丧
353,映
354,蚀
355,沾
356,庭
357,赶
358,闲
359,雾
360,返
361,街
362,童
363,也
364,频
365,眼
366,透
367,像
368,市
369,昏
370,巡
371,认
372,福
373,咳
374,终
375,朋
376,乎
377,楼
378,疗
379,捡
380,照
381,怯
382,太
383,怒
384,众
385,啤
386,霞
387,浇
388,嫁
389,铃
390,溶
391,遗
392,属
393,剥
394,贼
395,帮
396,翼
397,掰
398,失
399,似
400,神
401,袜
402,力
403,胞
404,晰
405,肉
406,叭
407,三
408,刮
409,糖
410,条
411,径
412,敲
413,植
414,泡
415,下
416,详
417,翅
418,缩
